1183	376
1183	1754
1183	2496
1184	18
1184	1366
1184	2071
1184	1202
1184	1458
1184	403
1184	1315
1184	1439
1184	1502
1184	1608
1184	1692
1184	2070
1184	2071
1184	2521
1184	3889
1186	918
1186	593
1186	259
1186	1027
1186	1021
1186	884
1190	188
1190	319
1190	1075
1190	1259
1190	1895
1190	1912
1190	2175
1190	2203
1190	2211
1190	2939
1190	3074
1190	3531
1190	3545
1193	588
1194	2709
1194	2427
1194	2712
1194	3015
1194	1622
1194	2025
1194	2427
1194	2559
1194	2605
1194	2709
1194	2712
1194	2852
1194	2899
1194	3015
1195	33
1195	1703
1195	295
1202	3240
1202	3318
1202	3319
1202	3356
1202	3455
1202	3456
1202	3513
1202	3624
1202	3745
1202	3746
1202	3785
1202	3786
1202	3789
1202	3793
1202	3821
1204	16
1204	2323
1204	178
1204	293
1204	300
1204	468
1204	579
1204	612
1204	868
1204	984
1204	1398
1204	1534
1204	1649
1204	1655
1204	1665
1204	2271
1204	2425
1204	2435
1204	2572
1205	540
1205	1373
1205	75
1205	282
1205	717
1205	1569
1205	1747
1205	2231
1205	2494
1205	3657
1211	3475
1211	1782
1228	2857
1228	2907
1228	3005
1228	317
1228	3178
1228	83
1228	569
1228	2387
1228	2710
1228	2773
1228	3455
1228	3569
1231	0
1231	537
1231	1913
1232	1192
1232	115
1232	1608
1234	149
1234	2857
1234	35
1234	190
1234	1620
1234	3270
1235	1195
1235	1197
1235	259
1235	1035
1235	1269
1237	2761
1237	200
1237	298
1237	684
1237	2336
1237	2608
1237	2629
1237	2677
1237	2720
1237	2962
1237	3007
1238	1693
1238	1796
1238	2236
1239	2857
1239	3554
1239	3623
1239	3509
1239	3284
1239	3509
1239	3534
1239	3565
1239	3623
1239	3750
1241	1088
1241	46
1241	116
1241	128
1241	1113
1241	1855
1241	2929
1247	2857
1247	526
1247	3896
1252	2395
1252	1171
1252	2323
1252	1393
1252	3066
1252	67
1252	82
1252	297
1252	304
1252	416
1252	567
1252	597
1252	648
1252	704
1252	727
1252	1171
1252	1201
1252	1210
1252	1304
1252	1391
1252	1541
1252	1700
1252	1965
1252	2425
1252	2498
1252	2766
1252	2925
1252	3044
1252	3066
1252	3220
1253	16
1253	221
1253	596
1253	10
1253	16
1253	27
1253	45
1253	104
1253	139
1253	178
1253	181
1253	206
1253	221
1253	223
1253	269
1253	293
1253	301
1253	496
1253	533
1253	612
1253	637
1253	778
1253	868
1253	931
1253	1454
1253	1476
1253	1492
1253	1534
1253	1642
1253	1655
1253	1668
1253	1754
1253	1766
1253	1849
1253	1873
1253	2153
1253	2167
1253	2569
1253	3102
1253	3424
1256	3947
1256	3951
1256	3910
1256	1306
1256	2247
